id;activity_name;activity_description;activity_duration;activity_utility;activity_reqs_id;activity_created_by;activity_creation_date;activity_modified_by;activity_modified_date;subtheme_id
1;A1;Activity #1;90;90;;admin;2020-03-13;admin;2020-03-13;1
2;A2;Activity #2;55;50;;admin;2020-03-13;admin;2020-03-13;1
3;A3;Activity #3;35;30;;admin;2020-03-13;admin;2020-03-13;1
4;A4;Activity #4;35;30;;admin;2020-03-13;admin;2020-03-13;2
5;A5;Activity #5;45;40;;admin;2020-03-13;admin;2020-03-13;2
6;A6;Activity #6;45;40;;admin;2020-03-13;admin;2020-03-13;2
7;A7;Activity #7;45;40;;admin;2020-03-13;admin;2020-03-13;3
8;A8;Activity #8;35;30;;admin;2020-03-13;admin;2020-03-13;3
9;A9;Activity #9;50;50;3;admin;2020-03-13;admin;2020-03-13;3
10;A10;Activity #10;60;100;9;admin;2020-03-13;admin;2020-03-13;4
11;A11;Activity #11;25;20;;admin;2020-03-13;admin;2020-03-13;4
12;A12;Activity #12;55;50;;admin;2020-03-13;admin;2020-03-13;4
