id;group_created_by;group_creation_date;group_modified_by;group_modified_date
1;hack;2019-11-24;quantifying;2019-11-24
2;Naira Versatile seize;2019-11-24;Refined;2019-11-24
3;web services;2019-11-24;Strategist;2019-11-24
4;success;2019-11-24;Principal Senior;2019-11-24
5;Yemeni Rial Sleek;2019-11-24;magenta heuristic;2019-11-23
6;Naira iterate;2019-11-24;Product;2019-11-23
7;Unbranded Cotton Table Generic B2B;2019-11-24;withdrawal;2019-11-24
8;Persevering analyzing;2019-11-24;zero defect Ridges Beauty;2019-11-24
9;schemas;2019-11-24;clear-thinking Frozen Licensed;2019-11-23
10;models New Mexico District;2019-11-24;SCSI Aruba Chair;2019-11-24
