id;activity_start_date;activity_end_date;activity_grade;student_activity_grade_date;student_activity_created_date;student_activity_created_by;student_activity_modified_date;student_activity_modified_by
1;2019-11-10;2019-11-10;14011;2019-11-10;2019-11-10;Cambridgeshire Central;2019-11-10;2019-11-10
2;2019-11-10;2019-11-10;2246;2019-11-10;2019-11-10;Peru withdrawal Down-sized;2019-11-10;2019-11-10
3;2019-11-10;2019-11-10;98440;2019-11-10;2019-11-10;Chicken needs-based Sports;2019-11-10;2019-11-10
4;2019-11-10;2019-11-10;57651;2019-11-10;2019-11-10;India;2019-11-10;2019-11-10
5;2019-11-10;2019-11-10;20642;2019-11-10;2019-11-10;Concrete;2019-11-10;2019-11-10
6;2019-11-10;2019-11-10;59741;2019-11-10;2019-11-10;withdrawal Towels;2019-11-10;2019-11-10
7;2019-11-10;2019-11-10;38313;2019-11-10;2019-11-10;Fantastic Wooden Chips microchip;2019-11-10;2019-11-10
8;2019-11-10;2019-11-10;24534;2019-11-10;2019-11-10;grid-enabled ubiquitous monitor;2019-11-10;2019-11-10
9;2019-11-10;2019-11-10;47605;2019-11-10;2019-11-10;Research sensor black;2019-11-10;2019-11-10
10;2019-11-10;2019-11-10;59507;2019-11-10;2019-11-10;Cambridgeshire Savings Account extensible;2019-11-10;2019-11-10
