id;activity_start_date;activity_end_date;activity_grade;student_activity_grade_date;student_activity_created_date;student_activity_created_by;student_activity_modified_date;student_activity_modified_by
1;2019-11-04;2019-11-04;14011;2019-11-05;2019-11-04;Cambridgeshire Central;2019-11-04;2019-11-05
2;2019-11-05;2019-11-05;2246;2019-11-05;2019-11-05;Peru withdrawal Down-sized;2019-11-05;2019-11-04
3;2019-11-04;2019-11-05;98440;2019-11-05;2019-11-05;Chicken needs-based Sports;2019-11-04;2019-11-05
4;2019-11-05;2019-11-04;57651;2019-11-05;2019-11-05;India;2019-11-04;2019-11-05
5;2019-11-04;2019-11-04;20642;2019-11-05;2019-11-05;Concrete;2019-11-04;2019-11-05
6;2019-11-04;2019-11-04;59741;2019-11-05;2019-11-05;withdrawal Towels;2019-11-04;2019-11-04
7;2019-11-05;2019-11-05;38313;2019-11-04;2019-11-05;Fantastic Wooden Chips microchip;2019-11-05;2019-11-05
8;2019-11-05;2019-11-04;24534;2019-11-05;2019-11-05;grid-enabled ubiquitous monitor;2019-11-05;2019-11-05
9;2019-11-05;2019-11-04;47605;2019-11-05;2019-11-04;Research sensor black;2019-11-05;2019-11-05
10;2019-11-05;2019-11-05;59507;2019-11-04;2019-11-05;Cambridgeshire Savings Account extensible;2019-11-04;2019-11-05
